0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,
0.73375225,1,-0.8853663,0.8917658,-27.4679,0.70557845,-98.08182,0.32464707,-0.11543429,0.4202782,-12.519017,-5.0598006,0.6607708,0.45100397,-0.33425558,1,0.9001827,0.65291107,1,0.6672313,0.505844,1,0.9025643,0.9999971,
0.73352444,1,-0.8872857,0.8915643,-27.7659,0.70586765,-97.952095,0.32346958,-0.11163914,0.42061275,-12.513451,-5.052246,0.6605141,0.45102423,-0.33200574,1,0.9004926,0.65280414,1,0.6669422,0.5069046,1,0.9028425,0.9999974,
0.7332971,1,-0.8864608,0.8910391,-27.904104,0.7054349,-98.41076,0.32644337,-0.11431348,0.4207338,-12.521828,-5.07518,0.6589347,0.45157343,-0.33869278,1,0.89955616,0.6532772,1,0.6660009,0.5079925,1,0.9034479,0.99999774,
0.7337455,1,-0.88849103,0.892134,-28.012104,0.70169866,-98.73674,0.32786113,-0.12526596,0.42108488,-12.507282,-5.0808053,0.6602385,0.450473,-0.32300186,1,0.89988214,0.65282786,1,0.662849,0.49693537,1,0.9020479,0.9999975,
0.7347095,1,-0.84655666,0.8931141,-28.187033,0.70151204,-99.65682,0.32702148,-0.13248336,0.4219361,-12.3770075,-5.10562,0.6630777,0.4507677,-0.31972945,1,0.90033907,0.6526058,1,0.6582614,0.48632205,1,0.9013408,0.99999756,
0.7354925,1,-0.86787343,0.89368886,-28.218296,0.7004571,-99.31664,0.3252747,-0.13107395,0.42159283,-12.412898,-5.0704,0.66389644,0.44959813,-0.2998582,1,0.9009873,0.6526364,1,0.6588303,0.4853192,1,0.9008402,0.9999976,
0.7361209,1,-0.92351735,0.8928876,-28.497932,0.70158005,-98.792015,0.3548817,-0.15621316,0.4224373,-12.687126,-5.068001,0.6565516,0.44866973,-0.2755003,1,0.90239745,0.65278435,1,0.65900666,0.48502767,1,0.8999101,0.9999977,
0.7353123,1,-0.93533623,0.89092153,-28.887177,0.702963,-99.23127,0.35835856,-0.15590787,0.4231034,-12.793545,-5.0683103,0.6543448,0.4491282,-0.27425742,1,0.9024511,0.6527119,1,0.6615435,0.49129242,1,0.900375,0.9999981,
0.73064303,1,-0.9133439,0.88912165,-29.031284,0.70892,-97.00542,0.32411456,-0.08526659,0.4185722,-13.399221,-4.8677044,0.65330595,0.45031655,-0.27152753,1,0.90191615,0.6531974,1,0.64534676,0.5232137,1,0.90361476,0.999998,
0.7315664,1,-0.9173502,0.885014,-28.334822,0.71634257,-98.13974,0.35220337,-0.1382494,0.42166257,-13.118125,-5.0937605,0.6438512,0.45332366,-0.2570331,1,0.90331924,0.6541969,1,0.6565456,0.52402866,1,0.90384763,0.99999815,
0.7299068,1,-0.92849267,0.8838798,-28.379282,0.71194947,-98.28212,0.34097868,-0.13219237,0.42121255,-13.250238,-5.082644,0.6434344,0.45422864,-0.2646916,1,0.9021415,0.6541009,1,0.6575142,0.5251188,1,0.90455997,0.9999982,
0.7266312,1,-0.7757982,0.8928775,-29.71504,0.7065556,-100.79128,0.260781,-0.053999066,0.41861844,-12.8191185,-4.9495745,0.6655792,0.454112,-0.3207363,1,0.898962,0.6537348,1,0.6513305,0.5162139,1,0.90688586,0.99999803,
0.7285181,1,-0.8628551,0.8893881,-29.67109,0.70493543,-99.048515,0.29846674,-0.1037997,0.41974086,-13.094494,-4.9757085,0.6493647,0.4528883,-0.2967459,1,0.899138,0.6535373,1,0.6470901,0.5115832,1,0.90406823,0.99999815,
0.73147655,1,-0.85901856,0.8900358,-29.935484,0.70719767,-101.90061,0.3802343,-0.17451358,0.4255364,-11.892257,-5.2010813,0.65111405,0.45555854,-0.28403544,1,0.9010339,0.6535614,1,0.6933693,0.49055392,1,0.90188444,0.9999982,
