0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,
0.99997663,0.9957017,0.9567612,1,0.99334306,0.9931926,0.9826686,0.9929984,0.97235256,0.99940383,0.98125494,0.9970385,1,1,0.9960221,0.9954975,0.9953085,0.9999119,0.99994487,0.99631464,0.99663734,0.99708235,1,1,
0.9999762,0.995653,0.9567685,1,0.99333936,0.99317247,0.98264843,0.99298835,0.9723509,0.9993987,0.9812293,0.99702775,1,1,0.9960456,0.9955277,0.99534196,0.9999106,0.99994326,0.9962924,0.99663717,0.99707454,1,1,
0.9999763,0.9956859,0.956817,1,0.9933216,0.99315083,0.98260665,0.99297816,0.9724227,0.9993999,0.98130184,0.99706256,1,1,0.9960358,0.99550474,0.9953079,0.99991274,0.9999443,0.99626917,0.99662143,0.9970802,1,1,
0.99997675,0.9957194,0.956849,1,0.993308,0.9931223,0.98256356,0.99295974,0.9724197,0.99941444,0.9812974,0.99705976,1,1,0.99602896,0.9954989,0.99530536,0.9999144,0.99994653,0.99627465,0.9966225,0.9970696,1,1,
0.99997807,0.9958408,0.95776004,1,0.9933358,0.9932792,0.98291576,0.9931263,0.9729476,0.9994319,0.98166686,0.9971408,1,1,0.99611694,0.9955922,0.9953939,0.9999208,0.99995047,0.9963655,0.99669874,0.9971509,1,1,
0.9999772,0.99570614,0.95738745,1,0.99333626,0.993241,0.9828659,0.9930693,0.9727048,0.99941576,0.9814856,0.99708253,1,1,0.9961095,0.9955982,0.9954187,0.99991953,0.99994993,0.9962909,0.9966562,0.99709874,1,1,
0.999977,0.99569225,0.95732373,1,0.9933643,0.993275,0.98288417,0.99310917,0.9726856,0.9994107,0.98148537,0.9970864,1,1,0.9961445,0.9956393,0.9954597,0.99992025,0.99995166,0.9962896,0.9966751,0.9971383,1,1,
0.99997663,0.99569476,0.9571929,1,0.99337137,0.9932594,0.98286563,0.9931016,0.9726223,0.9994052,0.9814414,0.99707544,1,1,0.9961658,0.99565613,0.99547243,0.9999221,0.9999537,0.99631214,0.99666125,0.9971217,1,1,
0.9999779,0.99561685,0.9559961,1,0.99343663,0.9932568,0.98264927,0.99303406,0.97189975,0.9994112,0.9809633,0.9970222,1,1,0.99615276,0.9956358,0.9954431,0.9999276,0.9999568,0.99614775,0.99649835,0.9971227,1,1,
0.9999782,0.9956849,0.9558171,1,0.9933962,0.9931636,0.98241913,0.99294496,0.97183514,0.9994238,0.98094636,0.9970545,1,1,0.9961036,0.9955729,0.9953789,0.99992955,0.99995947,0.9961712,0.9964755,0.9970939,1,1,
0.99997836,0.9957526,0.95659554,1,0.99329996,0.99306077,0.9824432,0.9928476,0.9722498,0.99941313,0.98098445,0.99704474,1,1,0.9960586,0.9955358,0.9953619,0.9999269,0.9999562,0.99583834,0.9966964,0.9970096,1,1,
0.99997884,0.9957821,0.9563123,1,0.99327195,0.9930842,0.9822744,0.992803,0.9720289,0.9994111,0.981018,0.99706143,1,1,0.99606174,0.99555993,0.9953893,0.999932,0.99996096,0.9961196,0.9967917,0.9969676,1,1,
0.9999788,0.995767,0.9562657,1,0.99322104,0.9930367,0.9822508,0.99277574,0.97196686,0.9994096,0.9809723,0.99703693,1,1,0.9960529,0.9955465,0.9953912,0.9999345,0.9999626,0.9961259,0.9968153,0.99694306,1,1,
0.9999862,0.99619037,0.9593596,1,0.9933255,0.99325305,0.98299885,0.9930545,0.9737937,0.9994689,0.98205376,0.9972247,1,1,0.99608094,0.99561054,0.9954316,0.9999462,0.9999675,0.9961001,0.9968628,0.99714637,1,1,
0.9999868,0.9960304,0.95765936,1,0.99335456,0.99327284,0.98280805,0.99301374,0.9728166,0.9994482,0.9815177,0.9971591,1,1,0.9961276,0.9956318,0.99547064,0.9999482,0.99996775,0.9959193,0.99671066,0.9971286,1,1,
