0,1,2,3,4,5,6,7,8,9,10
0.000573068,0.002905153,0.000994958,0.000488929,0.001061141,0.000115399,0.001274719,0.000599962,0.000109889,0.000935402,0.002029013
0.000572511,0.002962965,0.000995503,0.000516097,0.001045982,0.000115415,0.001268011,0.000643383,0.000109301,0.000933737,0.001990907
0.000573996,0.002943628,0.000993966,0.000516158,0.001042129,0.000114992,0.001278298,0.000709772,0.000109782,0.000945507,0.002134747
0.000584973,0.002880102,0.00102421,0.00053234,0.001054117,0.000115165,0.001371264,0.001044357,0.000110179,0.000947997,0.002275587
0.000585684,0.002863294,0.001022606,0.000536707,0.00105265,0.000115462,0.00135165,0.001044483,0.000112022,0.000952699,0.002529332
0.000589012,0.002855742,0.001026151,0.000535239,0.001056864,0.000116788,0.001381853,0.001264676,0.000114368,0.000964907,0.002837396
0.000585943,0.002808394,0.001018814,0.000532905,0.00105804,0.000116936,0.001364264,0.001256875,0.000114248,0.000961634,0.002814147
0.000588335,0.002765987,0.001024349,0.000533868,0.001046623,0.000119204,0.001372302,0.001269342,0.000114372,0.000971249,0.002893265
0.000587386,0.002722063,0.001025742,0.000530407,0.001051408,0.000119119,0.001367026,0.001290377,0.000114498,0.000969346,0.002884724
0.000589702,0.002722811,0.001046096,0.000535902,0.001040531,0.000119398,0.001364063,0.001340273,0.000114883,0.000968325,0.002946591
0.000588997,0.002697195,0.001045452,0.000533999,0.001060953,0.000119453,0.001364005,0.001363779,0.000114664,0.000968727,0.00293547
0.000589961,0.002669246,0.001053222,0.000531045,0.001047181,0.000119425,0.001347901,0.001350857,0.000114044,0.000966711,0.002903431
0.000592011,0.00260605,0.001035724,0.000531365,0.001054333,0.000119828,0.001350715,0.001335473,0.000114233,0.00096975,0.002923144
0.000591863,0.002596128,0.001043313,0.000532696,0.001058054,0.000126961,0.001361704,0.001388388,0.00011477,0.000975886,0.003141574
0.000589367,0.002557919,0.001039522,0.000531171,0.001048349,0.000126478,0.001348039,0.00134851,0.000114132,0.00097468,0.003101772
0.000591223,0.002570822,0.00105874,0.000526099,0.001047433,0.000127245,0.001333713,0.001344142,0.000114111,0.000972311,0.003093724
0.000584799,0.00252962,0.001046752,0.000522782,0.001046255,0.000126131,0.001328788,0.001330693,0.000112819,0.000968209,0.003026576
0.000587411,0.002483243,0.001029241,0.000520017,0.001048858,0.000126247,0.001321424,0.00133376,0.00011476,0.000966479,0.002998024
0.000584343,0.002432084,0.001029546,0.000520919,0.001046917,0.000125607,0.001312356,0.001315439,0.000114089,0.000970253,0.003005147
